id_turno_estatico,nome_turno,quantidade_produzida_mean,quantidade_produzida_median,quantidade_produzida_std,quantidade_produzida_min,quantidade_produzida_max,oee_mean,oee_median,oee_std,oee_min,oee_max,produtividade_mean,produtividade_median,produtividade_std,produtividade_min,produtividade_max,qualidade_mean,qualidade_median,qualidade_std,qualidade_min,qualidade_max,taxa_producao_mean,taxa_producao_median,taxa_producao_std,taxa_producao_min,taxa_producao_max,tempo_rodando_segundo_mean,tempo_rodando_segundo_median,tempo_rodando_segundo_std,tempo_rodando_segundo_min,tempo_rodando_segundo_max,qtd_batelada_mean,qtd_batelada_median,qtd_batelada_std,qtd_batelada_min,qtd_batelada_max
3,Turno 1,459.5019,546.085,327.7617,0.0,1178.16,27.3597,2.92,42.7342,0.09,125.21,39.5795,19.03,43.5237,2.73,138.69,100.0,100.0,0.0,100.0,100.0,4.4867,5.2,2.4104,0.0,12.0,228.8265,300.0,127.7812,0,300,1.7066,2.0,1.1895,0,4
4,Turno 2,368.0549,372.7,357.5168,0.0,1340.5,12.1774,9.805,11.3813,0.21,42.38,32.3705,33.39,20.6354,6.04,71.69,100.0,100.0,0.0,100.0,100.0,3.193,3.3,2.7119,0.0,7.5,178.9062,300.0,147.3804,0,300,1.4167,2.0,1.3279,0,5
5,Turno 3,493.498,579.4,356.4646,0.0,1390.11,40.8078,41.83,30.9843,0.21,100.74,60.5117,67.735,37.1521,6.04,124.53,100.0,100.0,0.0,100.0,100.0,5.4897,6.3,3.331,0.0,8.8,223.4211,300.0,130.9752,0,300,1.8553,2.0,1.3127,0,5
